Number,Journal tittle,Platform,Indexed on Google Scholar,Indexed on Scopus,Idexed on Google Scholar and Scopus,Indexed on at least one platform,Open Access Journal,Journal listed in the Directory of Open Access (DOAJ),Present on International Standard Serial Number (ISSN) portal,The publisher is a member of Committee on publication Ethics (COPE),Online publisher based in Africa,Hosted on INASP'S Journal online,African Journal Online (AJOL),SABINET Journal repository
31,African Journal of Clinical and Experimental Microbiology,African Journal Online (AJOL),1,0,0,1,1,0,1,0,1,1,1,0
32,African Journal of Drug and Alcohol Studies,African Journal Online (AJOL),0,1,0,1,1,0,1,0,1,1,1,0
33,African Journal of Economic Policy,African Journal Online (AJOL),1,0,0,1,0,0,0,0,1,1,1,0
34,African Journal of Endocrinology and Metabolism,African Journal Online (AJOL),0,0,0,0,1,0,0,0,1,1,1,0
35,African Journal of Environmental Science and Technology,African Journal Online (AJOL),1,0,0,1,1,0,1,0,1,1,1,0
36,African Journal of Infectious Diseases,African Journal Online (AJOL),1,1,1,1,1,1,1,1,1,1,1,0
37,African Journal of International Affairs and Development,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1,1,0
38,"African Journal of Library, Archives and Information Science",African Journal Online (AJOL),0,1,0,1,0,0,1,0,1,1,1,0
39,African Journal of Livestock Extension,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1,1,0
40,African Journal of Oral Health ,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1,1,0
41,African Journal of Paediatric Nephrology,African Journal Online (AJOL),0,0,0,0,0,0,0,0,1,1,1,0
42,African Journal of Paediatric Surgery,African Journal Online (AJOL),1,1,1,1,0,0,1,1,0,1,1,0
43,African Journal of Physiotherapy and Rehabilitation Sciences,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1,1,0
44,African Journal of Reproductive Health,African Journal Online (AJOL),1,1,1,1,1,0,1,0,1,1,1,0
45,African Journal of Social Issues,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1,1,0
46,African Journal of Sustainable Development,African Journal Online (AJOL),1,0,0,1,0,0,1,0,1,1,1,0
47,"African Journal of Traditional, Complementary and Alternative Medicines",African Journal Online (AJOL),1,1,1,1,1,0,0,0,1,1,1,0
48,African Studies Monographs,African Journal Online (AJOL),0,0,0,0,0,0,0,0,1,1,1,0
49,Afrimedic Journal,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1,1,0
50,Agro-Science,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1,1,0
51,Agrosearch,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1,1,0
52,Anchor University Journal of Science and Technology,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1,1,0
53,Animal Production Research Advances,African Journal Online (AJOL),0,0,0,0,0,0,0,0,1,1,1,0
54,Animal Research International,African Journal Online (AJOL),1,0,0,1,1,0,1,0,1,1,1,0
55,Annals of African Medicine,African Journal Online (AJOL),1,1,1,1,1,0,1,1,0,1,1,0
56,Annals of Biomedical Sciences,African Journal Online (AJOL),1,0,0,1,0,0,0,0,1,1,1,0
57,Annals of Health Research,African Journal Online (AJOL),0,0,0,0,1,1,1,1,1,1,1,0
58,Annals of Humanities and Development Studies,African Journal Online (AJOL),0,0,0,0,0,0,0,0,1,1,1,0
59,Annals of Ibadan Postgraduate Medicine,African Journal Online (AJOL),1,0,0,1,1,0,1,0,1,1,1,0
60,Annals of Medical and Health Sciences Research,African Journal Online (AJOL),1,0,0,1,0,1,1,0,1,1,1,0
61,Annals of Modern Education,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1,1,0
62,Annals of Nigerian Medicine,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1,1,0
63,Arụmarụka: Journal of Conversational Thinking,African Journal Online (AJOL),0,0,0,0,1,1,1,0,1,1,1,0
64,Archives of Ibadan Medicine,African Journal Online (AJOL),0,0,0,0,0,0,1,0,0,1,1,0
65,ATBU Journal of Environmental Technology,African Journal Online (AJOL),0,0,0,0,1,0,0,0,1,1,1,0
66,Babcock University Medical Journal,African Journal Online (AJOL),0,0,0,0,1,1,1,0,1,1,1,0
67,Bakolori Journal of General Studies,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1,1,0
68,Bayero Journal of Medical Laboratory Science,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1,1,0
69,Bayero Journal of Nursing and Health Care,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1,1,0
70,Bayero Journal of Pure and Applied Sciences,African Journal Online (AJOL),1,0,0,1,1,0,1,0,1,1,1,0
71,Nigeria Journal of Postgraduate Medicine,African Journal Online (AJOL),0,0,0,0,0,0,0,1,0,1,1,0
72,Bio-Research,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1,1,0
73,Biokemistri,African Journal Online (AJOL),0,0,0,0,1,0,0,0,1,1,1,0
74,Borno Medical Journal,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1,1,0
75,Bowen Journal of Agriculture,African Journal Online (AJOL),0,0,0,0,0,0,0,0,1,1,1,0
76,ChemSearch Journal,African Journal Online (AJOL),1,0,0,1,1,0,1,0,1,1,1,0
77,Communicate: Journal of Library and Information Science,African Journal Online (AJOL),0,0,0,0,0,0,0,0,1,1,1,0
78,Counsellor (The),African Journal Online (AJOL),0,0,0,0,0,0,0,0,1,1,1,0
79,Creative Artist: A Journal of Theatre and Media Studies,African Journal Online (AJOL),0,0,0,0,1,0,0,0,1,1,1,0
80,Democracy & Development: Journal of West African Affairs,African Journal Online (AJOL),0,0,0,0,0,0,0,0,1,1,1,0
81,Dutse Journal of Pure and Applied Sciences,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1,1,0
82,Ebonyi Medical Journal,African Journal Online (AJOL),0,0,0,0,0,0,0,0,1,1,1,0
83,Economic and Policy Review,African Journal Online (AJOL),0,0,0,0,1,0,0,1,0,1,1,0
84,Edo Journal of Counselling,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1,1,0
85,EJOTMAS: Ekpoma Journal of Theatre and Media Arts,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1,1,0
86,Environmental Technology and Science Journal,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1,1,0
87,Equity Journal of Science and Technology,African Journal Online (AJOL),1,0,0,1,1,0,1,0,1,1,1,0
88,"Filosofia Theoretica: Journal of African Philosophy, Culture and Religions",African Journal Online (AJOL),1,0,0,1,0,0,0,0,1,1,1,0
89,FUOYE Journal of Engineering and Technology,African Journal Online (AJOL),1,0,0,1,1,0,1,0,1,1,1,0
90,FUTY Journal of the Environment,African Journal Online (AJOL),1,0,0,1,1,0,1,0,1,1,1,0
91,Gender and Behaviour,African Journal Online (AJOL),1,0,0,1,0,0,1,0,1,1,1,0
92,Global Approaches to Extension Practice: A Journal of Agricultural Extension,African Journal Online (AJOL),0,0,0,0,0,0,0,0,1,1,1,0
93,Global Journal of Agricultural Sciences,African Journal Online (AJOL),0,0,0,0,1,0,0,0,1,1,1,0
94,Global Journal of Community Medicine,African Journal Online (AJOL),0,0,0,0,1,0,0,0,1,1,1,0
95,Global Journal of Educational Research,African Journal Online (AJOL),0,0,0,0,1,0,0,0,1,1,1,0
96,Global Journal of Engineering Research,African Journal Online (AJOL),0,0,0,0,1,0,0,0,1,1,1,0
97,Global Journal of Geological Sciences,African Journal Online (AJOL),0,0,0,0,1,0,0,0,1,1,1,0
98,Global Journal of Geological Sciences,African Journal Online (AJOL),0,0,0,0,1,0,0,0,1,1,1,0
99,Global Journal of Humanities,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1,1,0
100,Global Journal of Mathematical Sciences,African Journal Online (AJOL),0,0,0,0,1,0,0,0,1,1,1,0
101,Global Journal of Medical Sciences,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1,1,0
102,Global Journal of Pure and Applied Sciences,African Journal Online (AJOL),1,0,0,1,1,0,0,0,1,1,1,0
103,Global Journal of Social Sciences,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1,1,0
104,Highland Medical Research Journal,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1,1,0
105,Humanities Review Journal,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1,1,0
106,Ibadan Journal of Humanistic Studies,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1,1,0
107,Ife Journal of Science,African Journal Online (AJOL),1,0,0,1,1,0,1,0,1,1,1,0
108,IFE PsychologIA,African Journal Online (AJOL),1,0,0,1,0,0,0,0,1,1,1,0
109,Ilorin Journal of Religious Studies,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1,1,0
110,Information Impact: Journal of Information and Knowledge Management,African Journal Online (AJOL),1,0,0,1,1,1,1,0,1,1,1,0
111,Information Manager (The),African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1,1,0
112,Information Technologist (The),African Journal Online (AJOL),1,0,0,1,0,0,1,0,1,1,1,0
113,International Journal of Agriculture and Rural Development,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1,1,0
114,International Journal of Applied Agriculture and Apiculture Research,African Journal Online (AJOL),0,0,0,0,1,0,0,0,1,1,1,0
115,"International Journal of Basic, Applied and Innovative Research",African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1,1,0
116,International Journal of Community Research,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1,1,0
117,International Journal of Development and Management Review,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1,1,0
118,International Journal of Development and Policy Studies,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1,1,0
119,International Journal of Educational Research,African Journal Online (AJOL),1,0,0,1,1,1,1,1,0,1,1,0
120,"International Journal of Engineering, Science and Technology",African Journal Online (AJOL),1,0,0,1,1,0,1,0,1,1,1,0
121,International Journal of Health Research,African Journal Online (AJOL),0,1,0,1,1,0,1,0,1,1,1,0
122,International Journal of Herbs and Pharmacological Research,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1,1,0
123,International Journal of Malaria and Tropical Diseases (IJMTD),African Journal Online (AJOL),0,0,0,0,0,0,0,0,1,1,1,0
124,International Journal of Medicine and Biomedical Research,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1,1,0
125,International Journal of Medicine and Health Development,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1,1,0
126,International Journal of Natural and Applied Sciences,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1,1,0
127,International Journal of Tropical Agriculture and Food Systems,African Journal Online (AJOL),0,0,0,0,0,0,0,0,1,1,1,0
128,Jos Journal of Medicine,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1,1,0
129,Journal of African Association of Physiological Sciences,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1,1,0
130,Journal of Agricultural Extension,African Journal Online (AJOL),1,1,1,1,1,1,1,0,1,1,1,0
131,Journal of Agricultural Research and Development,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1,1,0
132,Journal of Agriculture and Food Sciences,African Journal Online (AJOL),0,0,0,0,1,0,1,1,0,1,1,0
133,Journal of Agriculture and Social Research (JASR),African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1,1,0
134,"Journal of Agriculture, Forestry and the Social Sciences",African Journal Online (AJOL),0,0,0,0,0,0,0,0,1,1,1,0
135,Journal of Applied Chemistry and Agricultural Research,African Journal Online (AJOL),0,0,0,0,0,0,0,0,1,1,1,0
136,"Journal of Applied Science, Engineering and Technology",African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1,1,0
137,Journal of Applied Sciences and Environmental Management,African Journal Online (AJOL),1,0,0,1,1,0,0,0,1,1,1,0
138,Journal of Aquatic Sciences,African Journal Online (AJOL),1,0,0,1,0,0,1,1,0,1,1,0
139,Journal of Basic and Clinical Reproductive Sciences,African Journal Online (AJOL),0,0,0,0,1,0,1,1,0,1,1,0
140,Journal of Biomedical Investigation,African Journal Online (AJOL),0,0,0,0,0,0,0,0,1,1,1,0
141,Journal of Community Medicine and Primary Health Care,African Journal Online (AJOL),0,0,0,0,1,0,0,0,1,1,1,0
142,Journal of Computer Science and Its Application,African Journal Online (AJOL),1,0,0,1,0,0,1,0,1,1,1,0
143,Journal of Cultural Studies,African Journal Online (AJOL),0,0,0,0,0,0,1,1,0,1,1,0
144,Journal of Dietitians Association of Nigeria,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1,1,0
145,Journal of Educational Foundations,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1,1,0
146,Journal of Environmental Extension,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1,1,0
147,Journal of Experimental and Clinical Anatomy,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1,1,0
148,Journal of Health and Visual Sciences,African Journal Online (AJOL),0,0,0,0,0,0,0,0,1,1,1,0
149,Journal of History and Diplomatic Studies,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1,1,0
150,Journal of Librarianship and Information Science in Africa,African Journal Online (AJOL),0,0,0,0,0,0,0,0,1,1,1,0
151,Journal of Medical Investigation and Practice,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1,1,0
152,Journal of Medical Laboratory Science,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1,1,0
153,Journal of Medicine and Biomedical Research,African Journal Online (AJOL),0,1,0,1,1,0,1,0,1,1,1,0
154,Journal of Medicine and Medical Sciences,African Journal Online (AJOL),1,1,1,1,0,0,1,0,0,1,1,0
155,Journal of Medicine in the Tropics,African Journal Online (AJOL),1,0,0,1,0,0,1,1,0,1,1,0
156,Journal of Meteorology and Climate Science,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1,1,0
157,Journal of Mining and Geology,African Journal Online (AJOL),0,1,0,1,0,0,1,0,1,1,1,0
158,"Journal of Modeling, Design and Management of Engineering Systems",African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1,1,0
159,Journal of Pharmaceutical and Allied Sciences,African Journal Online (AJOL),1,0,0,1,0,0,1,0,1,1,1,0
160,Journal of Pharmacy & Bioresources,African Journal Online (AJOL),1,0,0,1,0,0,0,0,1,1,1,0
161,Journal of Phytomedicine and Therapeutics,African Journal Online (AJOL),0,1,0,1,1,0,1,0,1,1,1,0
162,Journal of Radiography and Radiation Sciences,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1,1,0
163,Journal of Religion and Human Relations,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1,1,0
164,"Journal of Research in Forestry, Wildlife and Environment",African Journal Online (AJOL),1,0,0,1,1,0,1,0,1,1,1,0
165,Journal of Research in National Development,African Journal Online (AJOL),0,0,0,0,0,0,0,0,1,1,1,0
166,Journal of Surgical Technique and Case Report,African Journal Online (AJOL),0,1,0,1,1,0,1,1,0,1,1,0
167,Journal of Sustainable Development Law and Policy (The),African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1,1,0
168,Journal of Technology and Education in Nigeria,African Journal Online (AJOL),0,0,0,0,0,0,0,0,1,1,1,0
169,Journal of the Association of Nigerian Musicologists,African Journal Online (AJOL),0,0,0,0,0,0,0,0,1,1,1,0
170,Journal of the Nigerian Association of Mathematical Physics,African Journal Online (AJOL),1,0,0,1,0,0,0,0,1,1,1,0
171,Journal of the Nigerian Infection Control Association,African Journal Online (AJOL),0,0,0,0,0,0,0,0,1,1,1,0
172,Journal of the Nigerian Optometric Association,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1,1,0
173,Journal of the Obafemi Awolowo University Medical Student's Association (IFEMED),African Journal Online (AJOL),0,0,0,0,0,0,0,0,1,1,1,0
174,Kanem Journal of Medical Sciences,African Journal Online (AJOL),0,0,0,0,1,1,1,0,1,1,1,0
175,Kashere Journal of Education,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1,1,0
176,Lagos Historical Review,African Journal Online (AJOL),0,0,0,0,0,0,0,0,1,1,1,0
177,Lagos Journal of Library and Information Science,African Journal Online (AJOL),0,0,0,0,0,0,0,0,1,1,1,0
178,Lagos notes and Records,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1,1,0
179,LBS Management Review,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1,1,0
180,Mary Slessor Journal of Medicine,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1,1,0
181,Mgbakoigba: Journal of African Studies,African Journal Online (AJOL),0,0,0,0,1,0,0,0,1,1,1,0
182,Moor Journal of Agricultural Research,African Journal Online (AJOL),0,0,0,0,0,0,0,0,1,1,1,0
183,Nigeria Agricultural Journal,African Journal Online (AJOL),1,1,1,1,1,0,0,0,1,1,1,0
184,Nigeria Journal of Business Administration,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1,1,0
185,Nigeria Journal of Pure and Applied Physics,African Journal Online (AJOL),0,0,0,0,1,0,0,0,1,1,1,0
186,Nigerian Dental Journal,African Journal Online (AJOL),1,0,0,1,0,0,1,0,1,1,1,0
187,Nigerian Endocrine Practice,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1,1,0
188,Nigerian Food Journal,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1,1,0
189,Nigerian Health Journal,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1,1,0
190,Nigerian Hospital Practice,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1,1,0
191,Nigerian Journal of Animal Production,African Journal Online (AJOL),1,0,0,1,0,0,1,0,1,1,1,0
192,Nigerian Journal of Animal Science,African Journal Online (AJOL),1,0,0,1,1,0,1,0,1,1,1,0
193,Nigerian Journal of Basic and Applied Sciences,African Journal Online (AJOL),1,0,0,1,1,0,0,0,1,1,1,0
194,Nigerian Journal of Biotechnology,African Journal Online (AJOL),1,0,0,1,1,0,1,0,1,1,1,0
195,Nigerian Journal of Botany,African Journal Online (AJOL),0,0,0,0,1,0,0,0,1,1,1,0
196,Nigerian Journal of Chemical Research,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1,1,0
197,Nigerian Journal of Christian Studies,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1,1,0
198,Nigerian Journal of Clinical and Counselling Psychology,African Journal Online (AJOL),0,0,0,0,0,0,0,0,1,1,1,0
199,Nigerian Journal of Clinical Medicine,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1,1,0
200,Nigerian Journal of Clinical Practice,African Journal Online (AJOL),1,1,1,1,1,0,1,0,1,1,1,0
201,Nigerian Journal of Dental Research,African Journal Online (AJOL),1,0,0,1,1,0,1,0,1,1,1,0
202,Nigerian Journal of Economic History,African Journal Online (AJOL),0,0,0,0,0,0,0,0,1,1,1,0
203,Nigerian Journal of Family Practice,African Journal Online (AJOL),1,0,0,1,0,0,1,0,1,1,1,0
204,Nigerian Journal of Fisheries,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1,1,0
205,Nigerian Journal of Gastroenterology and Hepatology,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1,1,0
206,Nigerian Journal of General Practice,African Journal Online (AJOL),1,0,0,1,0,0,1,0,1,1,1,0
207,Nigerian Journal of Genetics,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1,1,0
208,Nigerian Journal of Guidance and Counselling,African Journal Online (AJOL),0,0,0,0,0,0,0,0,1,1,1,0
209,Nigerian Journal of Health and Biomedical Sciences,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1,1,0
210,Nigerian Journal of Horticultural Science,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1,1,0
211,Nigerian Journal of Medicine,African Journal Online (AJOL),1,1,1,1,1,1,1,1,0,1,1,0
212,Nigerian Journal of Natural Products and Medicine,African Journal Online (AJOL),0,0,0,0,0,0,0,0,1,1,1,0
213,Nigerian Journal of Nutritional Sciences,African Journal Online (AJOL),1,1,1,1,0,0,1,0,1,1,1,0
214,Nigerian Journal of Ophthalmology,African Journal Online (AJOL),1,0,0,1,1,0,1,0,1,1,1,0
215,Nigerian Journal of Orthopaedics and Trauma,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1,1,0
216,Nigerian Journal of Otorhinolaryngology,African Journal Online (AJOL),0,0,0,0,0,0,0,0,1,1,1,0
217,Nigerian Journal of Paediatrics,African Journal Online (AJOL),1,0,0,1,1,0,1,0,1,1,1,0
218,Nigerian Journal of Parasitology,African Journal Online (AJOL),1,1,1,1,0,0,1,0,1,1,1,0
219,Nigerian Journal of Pharmaceutical Research,African Journal Online (AJOL),1,0,0,1,1,0,1,0,0,1,1,0
220,Nigerian Journal of Physics,African Journal Online (AJOL),1,0,0,1,0,0,1,0,1,1,1,0
221,Nigerian Journal of Physiological Sciences,African Journal Online (AJOL),1,1,1,1,1,0,1,1,0,1,1,0
222,Nigerian Journal of Plastic Surgery,African Journal Online (AJOL),0,0,0,0,0,0,0,0,1,1,1,0
223,Nigerian Journal of Postgraduate Medicine,African Journal Online (AJOL),0,0,0,0,0,0,1,1,0,1,1,0
224,Nigerian Journal of Psychiatry,African Journal Online (AJOL),0,0,0,0,0,0,0,0,1,1,1,0
225,Nigerian Journal of Soil and Environmental Research,African Journal Online (AJOL),0,0,0,0,0,0,0,0,1,1,1,0
226,Nigerian Journal of Soil Science,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1,1,0
227,Nigerian Journal of Surgery,African Journal Online (AJOL),1,0,0,1,1,1,1,1,0,1,1,0
228,Nigerian Journal of Surgical Research,African Journal Online (AJOL),0,1,0,1,1,0,1,0,1,1,1,0
229,Nigerian Journal of Surgical Sciences,African Journal Online (AJOL),0,0,0,0,0,0,1,1,0,1,1,0
230,Nigerian Journal of Technological Development,African Journal Online (AJOL),1,1,1,1,1,1,1,0,1,1,1,0
231,Nigerian Journal of Technological Research,African Journal Online (AJOL),1,0,0,1,0,0,0,0,1,1,1,0
232,Nigerian Journal of Technology,African Journal Online (AJOL),1,1,1,1,1,1,1,0,1,1,1,0
233,Nigerian Libraries,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1,1,0
234,Nigerian Medical Journal,African Journal Online (AJOL),1,0,0,1,0,0,1,1,0,1,1,0
235,Nigerian Medical Practitioner,African Journal Online (AJOL),1,0,0,1,0,0,1,1,0,1,1,0
236,Nigerian Music Review,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1,1,0
237,Nigerian Quarterly Journal of Hospital Medicine,African Journal Online (AJOL),1,1,1,1,0,0,1,0,1,1,1,0
238,Nigerian School Library Journal,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1,1,0
239,Nigerian Veterinary Journal,African Journal Online (AJOL),1,0,0,1,1,0,0,0,1,1,1,0
240,Nnamdi Azikiwe University Journal of International Law and Jurisprudence,African Journal Online (AJOL),1,0,0,1,1,0,1,0,1,1,1,0
241,OGIRISI: a New Journal of African Studies,African Journal Online (AJOL),0,0,0,0,1,0,0,0,1,1,1,0
242,Orient Journal of Medicine,African Journal Online (AJOL),1,0,0,1,0,0,0,0,1,1,1,0
243,OYE: Ogun Journal of Arts,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1,1,0
244,Plant Products Research Journal,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1,1,0
245,Port Harcourt Medical Journal,African Journal Online (AJOL),1,0,0,1,0,0,1,1,0,1,1,0
246,Research Journal of Health Sciences,African Journal Online (AJOL),0,0,0,0,1,1,1,0,1,1,1,0
247,Sahel Journal of Veterinary Sciences,African Journal Online (AJOL),0,0,0,0,0,0,0,0,1,1,1,0
248,Sahel Medical Journal,African Journal Online (AJOL),1,1,1,1,0,0,1,1,0,1,1,0
249,Samaru Journal of Information Studies,African Journal Online (AJOL),0,0,0,0,1,0,0,0,1,1,1,0
250,Savannah Journal of Medical Research and Practice,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1,1,0
251,Science World Journal,African Journal Online (AJOL),1,0,0,1,1,0,1,0,1,1,1,0
252,Scientia Africana,African Journal Online (AJOL),1,0,0,1,0,0,0,0,1,1,1,0
253,Securities Market Journal,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1,1,0
254,Sokoto Journal of Medical Laboratory Science,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1,1,0
255,Sokoto Journal of Veterinary Sciences,African Journal Online (AJOL),1,0,0,1,1,0,1,0,1,1,1,0
256,Sophia: An African Journal of Philosophy,African Journal Online (AJOL),0,0,0,0,0,0,0,0,1,1,1,0
257,Tropical Freshwater Biology,African Journal Online (AJOL),0,0,0,0,0,0,0,0,1,1,1,0
258,Tropical Journal of Health Sciences,African Journal Online (AJOL),1,0,0,1,0,0,0,0,1,1,1,0
259,Tropical Journal of Medical Research,African Journal Online (AJOL),0,0,0,0,0,0,1,1,0,1,1,0
260,Tropical Journal of Obstetrics and Gynaecology,African Journal Online (AJOL),1,0,0,1,1,0,1,1,0,1,1,0
261,Tropical Journal of Pharmaceutical Research,African Journal Online (AJOL),1,1,1,1,1,1,1,0,1,1,1,0
262,Tropical Veterinarian,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1,1,0
263,UJAH: Unizik Journal of Arts and Humanities,African Journal Online (AJOL),1,0,0,1,1,0,1,0,1,1,1,0
264,West African Journal of Industrial and Academic Research,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1,1,0
265,West African Journal of Medicine,African Journal Online (AJOL),1,1,1,1,1,0,1,0,1,1,1,0
266,West African Journal of Pharmacology and Drug Research,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1,1,0
267,West African Journal of Radiology,African Journal Online (AJOL),1,0,0,1,0,0,1,1,0,1,1,0
268,Zaria Historical Journal,African Journal Online (AJOL),0,0,0,0,1,0,0,0,1,1,1,0
269,Zoologist (The),African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1,1,0
270,Annales Africaines de Medecine,African Journal Online (AJOL),1,0,0,1,1,1,1,0,1,1,1,0
271,Annales Aequatoria,African Journal Online (AJOL),0,0,0,0,0,0,1,0,0,1,1,0
272,Acta Structilia,African Journal Online (AJOL),0,0,0,0,1,1,0,0,1,1,1,0
273,Acta Theologica,African Journal Online (AJOL),1,1,1,1,1,1,1,0,1,1,1,0
274,Africa Insight,African Journal Online (AJOL),1,1,1,1,0,0,1,0,1,1,1,0
275,Africa Sanguine,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1,1,0
276,African Journal for Physical Activity and Health Sciences,African Journal Online (AJOL),1,0,0,1,0,0,1,0,1,1,1,0
277,African Journal of AIDS Research,African Journal Online (AJOL),1,1,1,1,0,0,1,1,0,1,1,0
278,African Journal of Aquatic Science,African Journal Online (AJOL),1,1,1,1,0,0,1,1,0,1,1,0
279,African Journal of Cross-Cultural Psychology and Sport Facilitation,African Journal Online (AJOL),0,0,0,0,0,0,0,0,1,1,1,0
280,African Journal of Health Professions Education,African Journal Online (AJOL),0,0,0,0,1,1,0,0,1,1,1,0
281,African Journal of Marine Science,African Journal Online (AJOL),1,1,1,1,0,0,1,1,0,1,1,0
282,African Journal of Political Science,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1,1,0
283,African Journal of Psychiatry,African Journal Online (AJOL),0,1,0,1,1,1,1,1,0,1,1,0
284,African Journal of Range and Forage Science,African Journal Online (AJOL),0,1,0,1,0,0,1,1,0,1,1,0
285,African Journal on Conflict Resolution,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1,1,0
286,African Review of Economics and Finance,African Journal Online (AJOL),1,0,0,1,0,0,1,0,1,1,1,0
287,African Safety Promotion: A Journal of Injury and Violence Prevention,African Journal Online (AJOL),0,0,0,0,1,0,0,0,1,1,1,0
288,African Zoology,African Journal Online (AJOL),1,1,1,1,0,0,1,1,0,1,1,0
